feature,value,0,1,2,3,4
mlp_0_1_outputs,2,0.30003095,-1.1384015,-1.111665,-0.9441903,1.6353687
mlp_0_1_outputs,3,-2.0897007,0.35468084,-0.07711481,0.45767558,2.1467893
mlp_0_1_outputs,4,0.67306244,0.46563742,0.081941485,0.56374645,0.70248663
mlp_0_1_outputs,5,-1.8983548,2.3202178,-1.522197,2.2826197,0.061059833
mlp_0_1_outputs,6,0.6346511,-0.095369495,-0.20948885,0.10669088,-0.24149144
mlp_0_1_outputs,7,0.38856682,0.22842073,0.022822978,0.108865485,-1.6343788
mlp_1_0_outputs,0,0.2109924,0.44525477,-0.18246983,0.024004312,-0.4264628
mlp_1_0_outputs,1,2.6005383,3.2263772,-4.8252363,2.4842985,-10.174373
mlp_1_0_outputs,2,-0.24307908,-2.132009,4.524583,-1.3633623,-5.2813153
mlp_1_0_outputs,3,1.322002,-1.8426428,-0.099941626,-1.9185284,3.2664125
mlp_1_0_outputs,4,-2.6172225,0.8310851,-0.6585324,0.07423131,1.2516484
mlp_1_0_outputs,5,0.5742358,0.7870716,-1.3035737,-0.5798644,0.8651785
mlp_1_0_outputs,6,0.29369667,0.4351996,0.35566828,0.8194075,0.60753304
mlp_1_0_outputs,7,0.18040851,0.46171778,0.08315435,0.0053826766,-0.032647207
mlp_1_1_outputs,0,-0.40283322,-0.03011058,0.2459339,0.19865638,-0.17755651
mlp_1_1_outputs,1,0.2849159,0.5215765,1.0636759,-0.21884486,0.45689642
mlp_1_1_outputs,2,-0.18226281,-0.38573962,0.56414944,-0.23451531,-0.8134987
mlp_1_1_outputs,3,0.34376422,0.1744312,0.72464824,0.2550034,-0.33158132
mlp_1_1_outputs,4,0.2754943,0.22307049,-0.17101759,-0.07336753,-0.05217137
mlp_1_1_outputs,5,-0.43588153,-0.20099373,-0.04117809,-0.032399848,-0.8935279
mlp_1_1_outputs,6,1.2065482,-0.35995978,0.23667796,-0.5803743,-0.29489917
mlp_1_1_outputs,7,0.034893785,0.17081255,0.5909914,-1.0971725,-0.037180457
mlp_2_0_outputs,0,-1.5678118,0.45369187,1.1947719,-0.18575609,0.326099
mlp_2_0_outputs,1,-0.70729864,-0.10886206,0.43057707,-0.5074481,-0.19287771
mlp_2_0_outputs,2,-0.9645989,-0.7913762,0.84335905,0.7593302,0.83922833
mlp_2_0_outputs,3,1.4851168,-0.51829433,-0.8008551,0.29846507,-0.7039584
mlp_2_0_outputs,4,1.9250579,0.3995331,0.30724367,-0.18090795,-1.7178332
mlp_2_0_outputs,5,-1.9549038,0.48975432,1.699661,-0.77992594,1.3003522
mlp_2_0_outputs,6,1.1474379,-0.28678843,0.24933976,-0.55081975,-0.8222735
mlp_2_0_outputs,7,-0.68358415,0.0028190375,0.4004893,0.04841347,0.45032105
mlp_2_1_outputs,0,-0.106565125,0.17174357,0.038872555,0.08009169,-0.22929335
mlp_2_1_outputs,1,0.058644123,-0.46409836,0.2417174,-0.23074101,0.068499915
mlp_2_1_outputs,2,0.6953067,-0.32071197,-0.18930684,-0.15314752,0.09995842
mlp_2_1_outputs,3,-0.06811971,0.05230803,-0.5010799,-0.16622028,0.015271473
mlp_2_1_outputs,4,0.18412204,0.4430111,-0.11948078,0.18475305,0.20282057
mlp_2_1_outputs,5,0.31722626,0.51714903,0.28302914,0.16543855,0.18431361
