feature,value,0,1,2,3,4
attn_2_3_outputs,2,-0.8936383,-0.49550927,0.5664562,-0.002858067,0.4771238
attn_2_3_outputs,3,-2.3719895,-2.1637886,-0.3187012,1.3639389,1.6654819
attn_2_3_outputs,4,-2.8780012,-3.258614,-1.407171,0.4808714,4.5409827
attn_2_3_outputs,</s>,-2.0476635,-1.4632374,0.8671566,1.1236113,0.19074978
attn_2_3_outputs,<pad>,0.14278622,0.3970202,0.37085786,0.7080695,0.18049285
attn_2_3_outputs,<s>,-0.3077263,-0.4841385,-0.08164604,-0.26165512,1.3116044
mlp_0_0_outputs,0,-0.71014166,0.35937253,-0.09869073,0.09255579,0.2060798
mlp_0_0_outputs,1,-2.5052106,2.2622373,0.96295214,-0.7041682,-0.82932776
mlp_0_0_outputs,2,0.10175509,0.2845647,0.11979368,0.38049957,0.3141402
mlp_0_0_outputs,3,-7.4434996,-8.50074,-1.3958012,3.063668,7.227167
mlp_0_0_outputs,4,3.7586205,2.2759454,-0.28035328,-2.6583447,-4.8884683
mlp_0_0_outputs,5,-1.3422669,1.2893595,1.4458966,0.19671643,-0.1128936
mlp_0_0_outputs,6,-0.49923164,-0.44115785,0.23646481,-0.059969228,0.3608275
mlp_0_0_outputs,7,-0.77222735,0.7942245,0.7460338,0.38366655,0.42281204
mlp_0_1_outputs,0,0.6147117,0.4625542,0.11002395,0.18027534,0.17757607
mlp_0_1_outputs,1,-2.49892,-5.4671125,0.32280275,-0.9854004,5.288171
mlp_0_1_outputs,2,-0.6152623,-0.20315783,-0.14563575,0.18534522,-0.140725
mlp_0_1_outputs,3,-1.439351,-0.5505252,0.36423007,0.41220215,0.9256721
mlp_0_1_outputs,4,0.099618375,0.26918492,-0.21877329,0.9523417,1.2667279
mlp_0_1_outputs,5,-6.2838163,-5.5550265,-0.87728405,5.1107044,4.199829
mlp_0_1_outputs,6,0.5184953,0.036531623,-0.22585802,0.13931389,-0.18039344
mlp_0_1_outputs,7,2.3848038,4.320438,0.35727468,-2.7982352,-7.290003
mlp_1_0_outputs,0,3.8559494,1.3035468,-0.9246742,-1.173929,-3.8431067
mlp_1_0_outputs,1,0.023726348,0.10523819,-0.67773014,0.1342701,-0.5776595
mlp_1_0_outputs,2,-1.1258683,-0.23113534,0.49169776,0.24064803,-0.5975134
mlp_1_0_outputs,3,-5.9552126,-1.9218105,-0.51903284,1.3280476,3.891454
mlp_1_0_outputs,4,-1.0563751,-0.2506046,-0.66866016,-0.026410514,0.71440655
mlp_1_0_outputs,5,-1.420981,-0.18658152,0.05439638,0.3247461,0.7111929
mlp_1_0_outputs,6,-4.232593,-0.8977706,0.25966996,1.5074257,4.229313
mlp_1_0_outputs,7,0.19612376,0.9025144,-0.017866692,0.00066179567,-0.13963665
mlp_1_1_outputs,0,-0.018688431,4.675556,2.4612086,-1.851229,-4.421308
mlp_1_1_outputs,1,7.967735,1.355409,-0.6537091,-3.0817845,-9.077025
mlp_1_1_outputs,2,-0.27536732,0.17645492,0.47632718,-0.3656846,-0.8242613
mlp_1_1_outputs,3,-0.9981579,2.6891258,2.2107193,-0.03262977,-2.3385386
mlp_1_1_outputs,4,0.39944133,0.37366477,-0.34799513,-0.033466652,-0.18490437
mlp_1_1_outputs,5,-0.69668156,0.24154826,0.12178266,-0.16696648,-0.58695525
mlp_1_1_outputs,6,-10.183426,-3.3482707,-0.12668836,2.494155,5.9451194
mlp_1_1_outputs,7,-0.29776075,0.18984106,0.5403028,-0.8354597,0.08161788
mlp_2_0_outputs,0,-0.4889026,-0.70714223,0.033447515,0.15993726,0.33887976
mlp_2_0_outputs,1,-1.0521649,0.1947946,0.6064254,-0.10178716,-0.64008814
mlp_2_0_outputs,2,0.21198678,0.26454374,0.62095964,0.13541017,-0.4837481
mlp_2_0_outputs,3,-4.2113323,-1.9056162,0.05137861,0.7102922,3.1703925
mlp_2_0_outputs,4,-3.0474205,-0.75397635,0.9083899,0.87340117,2.9933536
mlp_2_0_outputs,5,-3.9092944,-1.4633263,0.22184911,1.0997939,3.428928
mlp_2_0_outputs,6,4.5724807,1.3335483,-0.26051927,-1.2850653,-6.8049884
mlp_2_0_outputs,7,0.06315098,-0.12715934,0.30623174,-0.2469972,0.056826632
mlp_2_1_outputs,0,-0.18468852,-0.14947388,0.37100846,-0.18547185,0.027864624
mlp_2_1_outputs,1,-0.29601482,-0.20170833,0.050170537,0.07302763,-0.11340172
mlp_2_1_outputs,2,0.012040596,-0.1930871,0.3258083,-0.37920168,0.075145364
mlp_2_1_outputs,3,-1.8719319,-1.4138197,-0.56467843,0.4853952,2.7490666
mlp_2_1_outputs,4,1.8489697,2.1423306,0.6759999,-1.0742997,-4.897996
mlp_2_1_outputs,5,-0.22614178,1.2983104,1.5291947,0.49878296,-1.3704885
mlp_2_1_outputs,6,-5.0820413,-3.512639,-1.0098155,1.4070299,3.5837674
mlp_2_1_outputs,7,-0.3994586,-0.032768596,-0.47350723,0.06893677,0.17307083
num_attn_0_0_outputs,_,3.4445868,4.7891865,0.6289553,-2.7918396,-6.8557377
